"WVK_ID","WVK_BEGDAT","BEGAFSTAND","ENDAFSTAND","BEGKM","ENDKM"
61142005,20200701,0,35,6.517,6.549
61142006,20150701,0,68,6.451,6.517
61142007,20211201,0,490,6.612,7.117
61173050,20200701,0,13,171.37,171.365
61177014,20211101,0,87,2.203,2.118
61177017,20211101,0,631,2.118,1.491
61179038,20211101,0,1114,1.491,.368
61195004,20211101,0,237,6.063,5.826
61195005,20211101,0,164,6.063,6.226
62142059,20211201,0,11,7.174,7.183
62142062,20220101,0,13,7.103,7.083
62142063,20211201,0,4364,7.117,2.734
62142065,20220701,0,1983,7.148,9.122
62142066,20211201,0,27,7.147,7.174
62142067,20211201,0,26,7.117,7.147
62174014,20211101,0,75,0,.033
62174049,20211101,0,345,.033,.379
62174078,20220101,0,831,170.801,169.984
62174081,20220101,0,50,170.801,170.757
62181097,20211101,0,344,.368,.026
62192015,20201101,0,33,75.206,75.225
62192016,20201101,0,31,75.225,75.24
62192031,20201101,0,20,75.24,75.259
62192032,20211001,0,967,75.244,76.213
62192034,20141101,0,20,75.184,75.206
62196008,20141101,0,28,73.568,73.586
62196009,20141101,0,37,73.548,73.568
62196014,20141101,0,20,73.529,73.548
62196016,20141101,0,20,73.586,73.606
62196018,20211001,0,1582,73.606,75.184
63174013,20211101,0,1165,.379,1.539
63174015,20211001,0,101,170.091,169.984
63175041,20211001,0,1898,169.984,168.071
63190001,20211001,0,1797,76.213,78.015
64187005,20200701,0,31,78.059,78.09
64187006,20200701,0,52,78.1,78.04
64187008,20211001,0,25,78.108,78.133
64187009,20211001,0,31,78.077,78.108
64187010,20200701,0,26,78.06,78.084
64187012,20211001,0,1344,78.133,79.48
64187017,20141101,0,48,78.014,78.059
64199030,20141101,0,26,71.17,71.19
64199031,20141101,0,28,71.154,71.17
64199035,20211001,0,2323,71.222,73.529
64199037,20211001,0,21,71.201,71.222
64199039,20211001,0,23,71.134,71.157
65143012,20220701,0,1951,9.121,11.077
65173006,20211101,0,2152,1.539,3.721
65177009,20211001,0,93,168.071,167.983
65201006,20211001,0,264,70.065,69.79
65201009,20211001,0,44,70.065,70.12
65201011,20211001,0,1024,70.12,71.134
66177022,20211001,0,376,168.071,167.696
66177027,20211001,0,58,167.696,167.639
66177036,20160801,0,20,30.066,30.07
66177040,20180501,0,22,30.055,30.045
